what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1319045574901
stopped,bundle,org.eclipse.papyrus.core.resourceloading.preferences,0.8.1.v201109161105,"org.eclipse.papyrus.core.resourceloading.preferences",1319045574901
stopped,bundle,org.eclipse.papyrus.preferences,0.8.1.v201109161105,"org.eclipse.papyrus.preferences",1319045574901
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.properties,1.4.2.v20101129-2230,"org.eclipse.gmf.runtime.diagram.ui.properties",1319045574902
stopped,bundle,org.eclipse.papyrus.core.resourceloading,0.8.1.v201109161105,"org.eclipse.papyrus.core.resourceloading",1319045574902
stopped,bundle,org.eclipse.papyrus.controlmode.history,0.8.1.v201109161105,"org.eclipse.papyrus.controlmode.history",1319045574902
stopped,bundle,org.eclipse.papyrus.editor,0.8.1.v201109161105,"org.eclipse.papyrus.editor",1319045574902
stopped,bundle,org.eclipse.papyrus.parsers,0.8.1.v201109161105,"org.eclipse.papyrus.parsers",1319045574902
stopped,bundle,org.eclipse.papyrus.extensionpoints.editors,0.8.1.v201109161105,"org.eclipse.papyrus.extensionpoints.editors",1319045574903
stopped,bundle,org.eclipse.papyrus.outline.emftree,0.8.1.v201109161105,"org.eclipse.papyrus.outline.emftree",1319045574903
stopped,bundle,org.eclipse.papyrus.properties.runtime.uml,0.8.1.v201109161105,"org.eclipse.papyrus.properties.runtime.uml",1319045574903
stopped,bundle,org.eclipse.papyrus.properties.tabbed.customization,0.8.1.v201109161105,"org.eclipse.papyrus.properties.tabbed.customization",1319045574904
stopped,bundle,org.eclipse.papyrus.properties.tabbed.core,0.8.1.v201109161105,"org.eclipse.papyrus.properties.tabbed.core",1319045574905
stopped,bundle,org.eclipse.papyrus.properties.view.sysml,0.8.1.v201109161105,"org.eclipse.papyrus.properties.view.sysml",1319045574905
stopped,bundle,org.eclipse.papyrus.properties.view.uml,0.8.1.v201109161105,"org.eclipse.papyrus.properties.view.uml",1319045574905
stopped,bundle,org.eclipse.papyrus.properties.runtime,0.8.1.v201109161105,"org.eclipse.papyrus.properties.runtime",1319045574906
stopped,bundle,org.eclipse.papyrus.extendedtypes.emf,0.8.1.v201109161105,"org.eclipse.papyrus.extendedtypes.emf",1319045574906
stopped,bundle,org.eclipse.papyrus.extendedtypes.uml,0.8.1.v201109161105,"org.eclipse.papyrus.extendedtypes.uml",1319045574906
stopped,bundle,org.eclipse.papyrus.umlutils,0.8.1.v201109161105,"org.eclipse.papyrus.umlutils",1319045574907
stopped,bundle,org.eclipse.papyrus.service.edit,0.8.1.v201109161105,"org.eclipse.papyrus.service.edit",1319045574907
stopped,bundle,org.eclipse.papyrus.tabbedproperties.core,0.8.1.v201109161105,"org.eclipse.papyrus.tabbedproperties.core",1319045574907
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1319363085099
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1319363085099
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1319363085099
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1319363085099
started,bundle,org.eclipse.acceleo.common,3.1.1.v20110914-0246,"org.eclipse.acceleo.common",1319363085099
started,bundle,org.eclipse.acceleo.model,3.1.1.v20110914-0246,"org.eclipse.acceleo.model",1319363085099
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1319363085099
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1319363085109
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1319363085109
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1319363085109
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1319363085109
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1319363085109
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1319363085109
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1319363085109
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1319363085109
